R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,R,I,A,S,E,C,cluster
4,1,2,1,1,3,1,2,3,3,3,2,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,4,4,4,5,4,4,2,5,3,3,3,3,2,2,2,2,5,4,3,3,6,3,4,3,2,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,21,1,12,1,1,2,1,2,accounting,15,22,32,26,32,20,35
1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,3,1,5,3,3,3,1,5,1,3,3,3,3,1,3,3,1,1,1,5,3,5,3,4,6,6,5,7,7,5,3,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,2,2,15,1,4,5,1,2,1,2,accounting,8,14,40,24,22,22,35
3,5,1,1,1,1,1,1,3,3,2,1,1,1,1,1,3,5,5,1,1,3,5,5,2,3,3,2,3,5,5,3,5,1,5,5,4,5,1,2,5,1,1,5,1,1,5,1,5,4,3,5,5,6,6,7,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,17,2,10,4,3,2,2,6,accounting,14,13,28,26,28,20,35
4,5,3,2,1,1,1,1,1,4,3,2,3,3,2,1,5,4,3,1,5,3,3,5,4,4,4,4,5,5,4,4,4,1,5,5,5,4,3,4,4,5,4,4,4,3,4,4,6,5,6,7,6,7,7,6,6,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,1,2,2,16,1,10,2,1,2,1,5,accounting,18,19,29,34,31,32,35
1,1,3,3,2,3,2,3,3,2,2,2,2,3,1,1,5,4,2,4,4,5,3,4,5,3,4,3,5,5,5,5,3,2,3,3,5,5,5,5,3,2,2,3,5,1,5,4,6,1,6,5,7,5,6,1,7,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,2,2,16,1,4,1,1,2,1,3,accounting,18,16,31,35,31,25,35
3,3,3,2,3,2,2,2,1,2,2,2,1,2,1,1,2,3,3,2,4,3,2,3,3,4,3,3,4,4,4,4,3,3,4,4,2,5,3,5,3,3,2,3,1,2,3,3,5,5,4,6,6,1,4,4,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,3,2,2,21,1,3,1,1,2,1,2,accounting,20,12,22,29,29,20,35
5,2,4,2,2,2,2,4,1,4,3,3,2,2,2,2,2,3,5,3,4,3,3,3,4,5,1,3,4,4,5,4,1,5,4,2,3,5,3,4,4,4,4,3,3,2,4,2,5,1,7,6,5,7,7,5,6,5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,3,1,2,2,20,1,3,1,1,1,1,2,accounting,23,19,26,30,27,26,35
5,1,1,2,2,2,2,1,3,2,3,2,2,2,2,3,5,3,5,4,4,5,4,5,3,4,3,5,4,3,5,4,2,3,2,2,4,4,3,4,2,1,3,3,2,2,3,4,5,5,6,4,6,6,5,5,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,19,1,12,1,1,2,1,2,accounting,16,19,35,31,24,20,35
3,2,1,2,1,2,2,2,4,4,3,3,2,3,2,3,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,3,2,3,4,3,4,3,3,3,6,3,6,2,5,5,6,3,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,18,1,3,1,1,1,1,3,accounting,15,24,29,31,26,25,35
4,1,1,1,1,1,1,2,2,1,4,2,3,1,1,2,4,4,3,3,2,2,1,4,4,2,3,4,3,3,4,3,3,2,5,3,4,3,3,3,3,2,3,3,2,3,0,2,5,6,7,5,3,5,4,6,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,2,2,20,1,3,1,1,2,1,1,accounting,12,16,23,26,26,18,35
2,1,1,1,2,2,2,1,1,4,0,3,1,2,2,2,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,4,3,2,4,3,4,4,2,4,3,2,2,4,1,2,4,2,6,4,5,2,6,3,6,4,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,19,1,2,2,1,2,1,0,accounting,12,15,33,27,26,20,35
5,1,1,2,1,1,2,1,2,4,2,2,1,3,1,3,5,5,5,5,5,5,5,5,5,5,1,5,2,4,5,2,5,5,5,5,5,5,4,5,5,2,4,4,4,3,5,2,6,1,5,1,2,1,7,5,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,19,1,12,1,1,2,1,1,accounting,14,18,40,29,39,29,35
4,3,1,3,3,1,4,1,1,2,2,3,2,3,2,2,3,3,4,4,5,4,3,3,5,5,2,3,2,3,5,4,3,4,4,2,4,3,3,4,5,2,5,2,4,4,3,2,5,3,7,5,4,7,6,3,5,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,3,2,2,18,1,2,1,1,2,1,0,accounting,20,17,29,29,27,27,35
3,2,1,2,2,2,2,2,5,4,4,3,5,3,3,2,3,4,3,2,5,5,3,4,3,4,2,3,3,2,3,3,3,1,4,2,4,4,3,4,3,3,3,3,3,3,3,3,3,2,5,3,6,6,5,3,4,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,19,1,0,2,1,2,1,0,accounting,16,29,29,23,25,24,35
3,2,1,2,2,2,2,2,5,4,5,3,5,3,3,2,3,4,3,2,5,5,3,4,3,4,2,3,3,2,3,3,3,1,4,2,4,4,3,4,3,3,4,3,3,3,4,3,3,2,5,2,6,6,5,2,4,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,19,1,0,2,1,2,1,0,accounting,16,30,29,23,25,26,35
2,2,1,3,1,2,3,3,2,1,1,3,3,3,3,3,5,5,4,3,4,4,5,4,3,4,3,4,2,2,4,4,3,3,4,2,4,4,1,4,3,3,3,3,2,2,3,2,6,2,3,2,5,3,6,5,5,3,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,3,3,2,2,18,1,0,1,1,2,1,1,accounting,17,19,34,26,25,21,35
3,2,2,3,2,3,2,2,4,4,4,2,2,4,2,3,3,3,3,3,2,3,3,4,2,3,2,3,3,4,3,3,3,2,3,2,3,3,4,4,3,2,3,2,2,2,2,3,5,5,6,4,5,4,6,4,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,2,19,1,3,1,1,2,1,0,accounting,19,25,24,23,24,19,35
3,2,2,3,3,2,2,4,1,3,2,1,2,1,1,3,3,2,4,4,3,5,1,4,3,1,3,3,4,5,3,2,3,3,3,3,3,3,1,3,3,2,2,3,2,1,3,5,3,1,5,3,5,6,6,5,6,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,2,13,1,4,1,1,2,1,4,accounting,21,14,26,24,22,21,35
3,2,2,2,2,3,2,2,3,1,2,1,2,2,1,1,5,4,5,5,5,5,2,4,4,4,5,3,4,4,4,4,4,3,3,4,3,3,3,4,3,4,3,3,4,3,3,3,4,5,5,5,6,5,6,5,4,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,30,1,10,2,1,2,1,4,accounting,18,13,35,32,27,26,35
3,1,2,2,2,2,3,1,2,3,1,1,1,3,2,1,3,3,3,3,3,3,3,3,3,4,4,5,4,4,4,3,2,3,3,4,3,3,3,3,3,2,2,4,4,4,3,3,4,2,5,7,5,6,5,2,5,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,3,2,1,26,1,3,1,1,1,1,4,accounting,16,14,24,31,24,25,35
3,1,1,2,3,2,3,2,3,4,4,3,3,2,2,1,1,4,3,3,3,3,5,3,5,4,1,3,4,1,2,3,3,3,5,3,4,4,4,3,2,4,5,3,2,1,4,3,5,6,6,6,6,2,6,2,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,21,1,3,1,1,1,1,5,accounting,17,22,25,23,29,24,35
1,1,1,1,1,1,3,3,1,1,1,1,2,3,2,3,5,4,5,5,3,5,4,3,4,2,1,4,3,2,4,2,5,2,5,4,5,5,5,3,2,2,4,2,4,2,4,3,4,4,5,6,5,5,6,1,2,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,3,2,2,19,1,1,1,1,2,1,1,accounting,12,14,34,22,34,23,35
3,1,2,2,1,3,3,1,5,4,3,3,3,3,2,1,5,5,5,4,4,3,3,5,3,2,1,4,2,4,4,2,3,3,4,5,4,4,2,4,3,3,2,2,1,1,3,2,6,5,6,5,6,3,5,6,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,17,1,2,1,1,2,1,2,accounting,16,24,34,22,29,17,35
5,2,0,2,3,3,3,3,1,5,2,2,2,4,2,4,4,4,2,2,4,5,4,5,4,4,2,2,2,4,4,3,4,2,5,2,4,3,4,5,3,3,3,4,4,3,4,4,6,6,6,3,6,3,5,5,4,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,24,1,3,1,1,2,1,1,accounting,21,22,30,25,29,28,35
3,3,3,2,3,2,3,2,4,4,2,2,2,3,1,2,3,3,2,4,5,3,2,3,4,4,2,5,4,2,3,2,4,3,4,3,4,4,2,2,2,3,2,3,3,3,3,3,5,6,6,5,6,6,6,5,6,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,2,22,1,3,1,1,1,1,2,accounting,21,20,25,26,26,22,35
